StopId,Name
NSR:StopPlace:702,Sandnes Sentrum stasjon
NSR:StopPlace:704,Stai stasjon
NSR:StopPlace:706,Stabekk stasjon
NSR:StopPlace:708,Stange stasjon
NSR:StopPlace:712,Stjørdal stasjon
NSR:StopPlace:714,Steinkjer stasjon
NSR:StopPlace:716,Strømmen stasjon
NSR:StopPlace:710,Stanghelle stasjon
NSR:StopPlace:602,Berkåk stasjon
NSR:StopPlace:603,Støren stasjon
NSR:StopPlace:608,Bråstad stasjon
NSR:StopPlace:609,Kristiansand stasjon
NSR:StopPlace:613,Svingen stasjon
NSR:StopPlace:617,Kråkstad stasjon
NSR:StopPlace:618,Marienborg stasjon
NSR:StopPlace:610,Sandvika stasjon
NSR:StopPlace:624,Sirevåg stasjon
NSR:StopPlace:507,Bodø stasjon
NSR:StopPlace:628,Darbu stasjon
NSR:StopPlace:506,Larvik stasjon
NSR:StopPlace:629,Kvam stasjon
NSR:StopPlace:508,Ål stasjon
NSR:StopPlace:501,Lunde stasjon
NSR:StopPlace:500,Bellingmo stasjon
NSR:StopPlace:621,Dal stasjon
NSR:StopPlace:514,Ålen stasjon
NSR:StopPlace:635,Kongsvinger stasjon
NSR:StopPlace:513,Kambo stasjon
NSR:StopPlace:636,Søberg stasjon
NSR:StopPlace:639,Dale stasjon
NSR:StopPlace:518,Bolstadøyri stasjon
NSR:StopPlace:519,Kongsberg stasjon
NSR:StopPlace:512,Bodung stasjon
NSR:StopPlace:94,Sarpsborg stasjon
NSR:StopPlace:646,Tangen stasjon
NSR:StopPlace:645,Dombås stasjon
NSR:StopPlace:406,Lesja stasjon
NSR:StopPlace:648,Slependen stasjon
NSR:StopPlace:97,Skotbu stasjon
NSR:StopPlace:529,Bryn stasjon
NSR:StopPlace:99,Haugastøl stasjon
NSR:StopPlace:407,Vegårshei stasjon
NSR:StopPlace:90,Harran stasjon
NSR:StopPlace:91,Steinberg stasjon
NSR:StopPlace:640,Sørumsand stasjon
NSR:StopPlace:400,Ler stasjon
NSR:StopPlace:641,Kongsvoll stasjon
NSR:StopPlace:520,Åndalsnes stasjon
NSR:StopPlace:523,Bondivann stasjon
NSR:StopPlace:401,Vestfossen stasjon
NSR:StopPlace:84,Råde stasjon
NSR:StopPlace:87,Skeiane stasjon
NSR:StopPlace:80,Røyken stasjon
NSR:StopPlace:81,Hanestad stasjon
NSR:StopPlace:82,Egersund stasjon
NSR:StopPlace:73,Ed station
